[0;32mI (79022) app_main: t=1605354938 8142000[0m
[0;32mI (80022) app_main: t=1605354939 8142000[0m
RX 81001558 292 290 b 1
RX 81001808 250 250 b 0
RX 81002097 289 285 b 1
RX 81003416 1319 1315 a 0
RX 81003702 286 285 b 1
RX 81004975 1273 1270 a 0
RX 81005263 288 285 b 1
RX 81005513 250 250 b 0
RX 81005802 289 285 b 1
RX 81007073 1271 1270 a 0
RX 81007358 285 285 b 1
RX 81007609 251 250 b 0
RX 81007894 285 285 b 1
RX 81009172 1278 1275 a 0
RX 81009458 286 285 b 1
RX 81009713 255 255 b 0
RX 81009997 284 280 b 1
RX 81010239 242 240 b 0
RX 81010536 297 295 b 1
RX 81011860 1324 1320 a 0
RX 81012145 285 285 b 1
RX 81013413 1268 1265 a 0
RX 81013697 284 280 b 1
RX 81013956 259 255 b 0
RX 81014242 286 285 b 1
RX 81014496 254 250 b 0
RX 81014779 283 280 b 1
RX 81016053 1274 1270 a 0
RX 81016341 288 285 b 1
RX 81017612 1271 1270 a 0
RX 81017896 284 280 b 1
RX 81018147 251 250 b 0
RX 81018433 286 285 b 1
RX 81019710 1277 1275 a 0
RX 81019995 285 285 b 1
RX 81020302 307 305 b 0
RX 81020588 286 285 b 1
RX 81021856 1268 1265 a 0
RX 81022140 284 280 b 1
RX 81022395 255 255 b 0
RX 81022683 288 285 b 1
RX 81023951 1268 1265 a 0
RX 81024239 288 285 b 1
RX 81024494 255 255 b 0
RX 81024782 288 285 b 1
RX 81026053 1271 1270 a 0
RX 81026337 284 280 b 1
RX 81026589 252 250 b 0
RX 81026877 288 285 b 1
RX 81028147 1270 1270 a 0
RX 81028434 287 285 b 1
RX 81028739 305 305 b 0
RX 81029025 286 285 b 1
RX 81030297 1272 1270 a 0
RX 81030583 286 285 b 1
RX 81030838 255 255 b 0
RX 81031124 286 285 b 1
RX 81031379 255 255 b 0
RX 81031663 284 280 b 1
RX 81032937 1274 1270 a 0
RX 81033225 288 285 b 1
RX 81034493 1268 1265 a 0
